876,12624,1
1164,13800,1
1212,13540,1
1044,12916,1
1080,12484,1
764,12720,1
736,12476,1
884,12328,1
1024,12304,1
904,12744,1
916,13068,1
940,13520,1
1208,13560,1
1304,13772,1
1236,12920,1
948,12760,1
716,12324,1
948,11920,1
1228,12176,1
848,12688,1
840,12336,1
1000,12552,1
1040,12464,1
884,13108,1
988,12652,1
1036,13040,1
1176,13504,1
1052,12476,1
980,12176,1
776,12176,1
948,12180,1
1220,12568,1
900,12668,1
868,12476,1
884,12052,1
1104,12200,1
904,12708,1
768,13540,1
1044,13804,1
1288,13512,1
1348,13564,1
1476,13816,1
1248,14128,1
1096,13660,1
1012,13568,1
1072,13340,1
1100,13552,1
1472,13932,1
1476,13500,1
1024,13552,1
1068,13700,1
888,12864,1
1208,12744,1
1108,13292,1
1444,13732,1
672,13368,1
992,12868,1
1224,13152,1
1296,13056,1
692,14008,1
1940,13484,1
576,12652,1
1092,12244,1
640,12964,1
896,13692,1
1056,13752,1
1148,13348,1
1240,13648,1
852,13780,1
732,13368,1
1104,12764,1
1256,12176,1
1112,12676,1
1004,13312,1
836,14136,1
1124,13576,1
1136,13620,1
1084,13944,1
1016,13708,1
1136,13752,1
1104,14240,1
968,13576,1
836,13816,1
1056,13732,1
1064,13376,1
1272,13668,1
964,13240,1
1100,13120,1
1264,13624,1
892,13768,1
1188,13760,1
1180,13672,1
1244,12808,1
980,13024,1
828,11988,1
960,12352,1
1088,12628,1
1072,13056,1
840,12620,1
928,12420,1
1060,12488,1
872,12244,1
996,12464,1
1304,12156,1
704,11824,1
748,12960,1
1108,11980,1
1124,12984,1
652,13688,1
928,13952,1
1136,12512,1
812,12460,1
1116,12564,1
1088,12416,1
988,12380,1
888,12492,1
920,12020,1
1064,12408,1
1084,12764,1
656,12620,1
1076,12916,1
1128,13756,1
852,13404,1
920,13244,1
1156,12624,1
796,12840,1
608,12748,1
864,12904,1
972,13196,1
976,13152,1
704,13492,1
772,13580,1
1128,13376,1
1248,13656,1
948,13788,1
1152,13788,1
1084,13456,1
976,13800,1
936,13516,1
1132,13272,1
1008,13768,1
1196,13908,1
896,13604,1
1164,13664,1
960,13372,1
1272,12668,1
996,13268,1
776,12908,1
1124,12576,1
3416,11964,1
904,13364,1
936,12836,1
860,12408,1
1088,11776,1
1000,12792,1
1072,12756,1
992,13340,1
1032,13176,1
1060,12976,1
1660,13536,1
1680,13492,1
1492,13448,1
1284,13556,1
1476,13208,1
1144,14140,1
976,12312,1
164,14008,1
1036,13584,1
1312,15600,1
1352,15092,1
1444,14292,1
1524,12792,1
1576,12144,1
1532,13332,1
1480,13788,1
1580,13680,1
1860,12900,1
1680,13540,1
1412,12796,1
1104,13072,1
1324,13204,1
1064,12484,1
